iter	Passed	Remaining
947	1858	101
948	1861	100
949	1863	98
950	1864	96
951	1867	94
952	1870	92
953	1872	90
954	1874	88
955	1876	86
956	1878	84
957	1880	82
958	1882	80
959	1885	78
960	1887	76
961	1889	74
962	1891	72
963	1893	70
964	1895	68
965	1896	66
966	1899	64
967	1901	62
968	1903	60
969	1905	58
970	1907	56
971	1909	55
972	1912	53
973	1915	51
974	1917	49
975	1920	47
976	1922	45
977	1924	43
978	1926	41
979	1928	39
980	1931	37
981	1933	35
982	1936	33
983	1938	31
984	1940	29
985	1942	27
986	1944	25
987	1946	23
988	1948	21
989	1951	19
990	1953	17
991	1955	15
992	1957	13
993	1959	11
994	1961	9
995	1963	7
996	1965	5
997	1968	3
998	1970	1
999	1973	0
